[contactor] INFO 2024-04-22 13:47:05,991 Watching for file changes with StatReloader
[contactor] INFO 2024-04-22 13:47:09,339 "GET /contacts/?firstname=aaa&lastname=&email=&readall=no HTTP/1.1" 302 0
[contactor] INFO 2024-04-22 13:47:09,358 "GET /contacts/ HTTP/1.1" 200 7351
[contactor] INFO 2024-04-22 13:51:07,232 /home/mac/Documents/Projects/python/django/Contact_Management_System/contacts/views.py changed, reloading.
[contactor] INFO 2024-04-22 13:51:07,492 Watching for file changes with StatReloader
[contactor] INFO 2024-04-22 13:51:27,040 "GET /contacts/?firstname=aaa&lastname=&email=&readall=no HTTP/1.1" 200 5086
[contactor] INFO 2024-04-22 13:51:35,985 "GET /contacts/ HTTP/1.1" 200 7216
[contactor] INFO 2024-04-22 13:51:39,014 "GET /contacts/?firstname=aaa&lastname=&email=&readall=no HTTP/1.1" 200 5086
[contactor] INFO 2024-04-22 13:51:43,714 "GET /contacts/?firstname=Wonder&lastname=&email=&readall=no HTTP/1.1" 200 5816
[contactor] INFO 2024-04-22 13:51:48,357 "GET /contacts/?firstname=aaa&lastname=&email=&readall=no HTTP/1.1" 200 5086
[contactor] INFO 2024-04-22 13:51:55,536 "GET /contacts/ HTTP/1.1" 200 7216
[contactor] INFO 2024-04-22 13:51:59,347 "GET /contacts/?firstname=aaa&lastname=&email=&readall=no HTTP/1.1" 200 5086
[contactor] INFO 2024-04-22 13:52:21,465 /home/mac/Documents/Projects/python/django/Contact_Management_System/contacts/views.py changed, reloading.
[contactor] INFO 2024-04-22 13:52:21,710 Watching for file changes with StatReloader
[contactor] INFO 2024-04-23 13:40:40,154 Watching for file changes with StatReloader
[contactor] INFO 2024-04-23 13:41:03,033 "GET / HTTP/1.1" 302 0
[contactor] INFO 2024-04-23 13:41:03,047 "GET /accounts/login/ HTTP/1.1" 200 1067
[contactor] INFO 2024-04-23 13:41:03,122 "GET /static/css/login.css HTTP/1.1" 200 1682
[contactor] WARNING 2024-04-23 13:41:03,148 Not Found: /favicon.ico
[contactor] WARNING 2024-04-23 13:41:03,148 "GET /favicon.ico HTTP/1.1" 404 179
[contactor] INFO 2024-04-23 13:41:07,844 "POST /accounts/login/ HTTP/1.1" 302 0
[contactor] INFO 2024-04-23 13:41:07,854 "GET /accounts/login/ HTTP/1.1" 200 1193
[contactor] INFO 2024-04-23 13:41:15,188 "POST /accounts/login/ HTTP/1.1" 302 0
[contactor] INFO 2024-04-23 13:41:15,204 "GET /contacts/ HTTP/1.1" 200 7216
[contactor] INFO 2024-04-23 13:41:15,214 "GET /static/css/style.css HTTP/1.1" 200 4214
[contactor] INFO 2024-04-23 13:41:15,214 "GET /static/css/contact.css HTTP/1.1" 200 27696
[contactor] INFO 2024-04-23 13:41:25,259 "GET /contacts/update/4/ HTTP/1.1" 200 5035
[contactor] INFO 2024-04-23 13:41:25,271 "GET /static/css/style.css HTTP/1.1" 200 4214
[contactor] INFO 2024-04-23 13:41:25,272 "GET /static/css/contact.css HTTP/1.1" 200 27696
[contactor] INFO 2024-04-23 13:41:27,996 "POST /contacts/update/4/ HTTP/1.1" 302 0
[contactor] INFO 2024-04-23 13:41:28,015 "GET /contacts/ HTTP/1.1" 200 7366
[contactor] INFO 2024-04-23 13:41:28,029 "GET /static/css/style.css HTTP/1.1" 200 4214
[contactor] INFO 2024-04-23 13:41:28,029 "GET /static/css/contact.css HTTP/1.1" 200 27696
[contactor] INFO 2024-04-23 13:41:35,876 "GET /contacts/?firstname=mercy&lastname=&email=&readall=no HTTP/1.1" 200 5820
[contactor] INFO 2024-04-23 13:41:35,894 "GET /static/css/style.css HTTP/1.1" 200 4214
[contactor] INFO 2024-04-23 13:41:35,895 "GET /static/css/contact.css HTTP/1.1" 200 27696
[contactor] INFO 2024-04-23 13:41:40,438 "GET /contacts/?firstname=aaa&lastname=&email=&readall=no HTTP/1.1" 200 5086
[contactor] INFO 2024-04-23 13:41:40,456 "GET /static/css/contact.css HTTP/1.1" 200 27696
[contactor] INFO 2024-04-23 13:41:40,456 "GET /static/css/style.css HTTP/1.1" 200 4214
[contactor] INFO 2024-04-23 13:41:44,065 "GET /contacts/?firstname=&lastname=&email=&readall=yes HTTP/1.1" 200 7216
[contactor] INFO 2024-04-23 13:41:44,082 "GET /static/css/style.css HTTP/1.1" 200 4214
[contactor] INFO 2024-04-23 13:41:44,082 "GET /static/css/contact.css HTTP/1.1" 200 27696
[contactor] INFO 2024-04-23 13:41:50,479 "GET /contacts/?firstname=aaa&lastname=&email=&readall=no HTTP/1.1" 200 5086
[contactor] INFO 2024-04-23 13:41:50,494 "GET /static/css/style.css HTTP/1.1" 200 4214
[contactor] INFO 2024-04-23 13:41:50,497 "GET /static/css/contact.css HTTP/1.1" 200 27696
[contactor] INFO 2024-04-23 13:41:52,625 "GET /contacts/ HTTP/1.1" 200 7216
[contactor] INFO 2024-04-23 13:41:52,643 "GET /static/css/style.css HTTP/1.1" 200 4214
[contactor] INFO 2024-04-23 13:41:52,644 "GET /static/css/contact.css HTTP/1.1" 200 27696
[contactor] INFO 2024-04-23 13:42:09,445 "GET /contacts/update/3/ HTTP/1.1" 200 5028
[contactor] INFO 2024-04-23 13:42:09,466 "GET /static/css/style.css HTTP/1.1" 200 4214
[contactor] INFO 2024-04-23 13:42:09,466 "GET /static/css/contact.css HTTP/1.1" 200 27696
[contactor] INFO 2024-04-23 13:42:15,885 "POST /contacts/update/3/ HTTP/1.1" 302 0
[contactor] INFO 2024-04-23 13:42:15,901 "GET /contacts/ HTTP/1.1" 200 7366
[contactor] INFO 2024-04-23 13:42:15,916 "GET /static/css/style.css HTTP/1.1" 200 4214
[contactor] INFO 2024-04-23 13:42:15,916 "GET /static/css/contact.css HTTP/1.1" 200 27696
[contactor] INFO 2024-04-23 13:42:20,444 "GET /contacts/update/4/ HTTP/1.1" 200 5035
[contactor] INFO 2024-04-23 13:42:20,465 "GET /static/css/contact.css HTTP/1.1" 200 27696
[contactor] INFO 2024-04-23 13:42:20,467 "GET /static/css/style.css HTTP/1.1" 200 4214
[contactor] INFO 2024-04-23 13:42:29,142 "GET /contacts/ HTTP/1.1" 200 7216
[contactor] INFO 2024-04-23 13:42:29,164 "GET /static/css/style.css HTTP/1.1" 200 4214
[contactor] INFO 2024-04-23 13:42:29,164 "GET /static/css/contact.css HTTP/1.1" 200 27696
[contactor] INFO 2024-04-23 13:42:31,105 "GET /contacts/detail/3/ HTTP/1.1" 200 4240
[contactor] INFO 2024-04-23 13:42:31,121 "GET /static/css/style.css HTTP/1.1" 200 4214
[contactor] INFO 2024-04-23 13:42:31,123 "GET /static/css/contact.css HTTP/1.1" 200 27696
[contactor] INFO 2024-04-23 13:42:51,355 "GET /contacts/detail/2/ HTTP/1.1" 200 4243
[contactor] INFO 2024-04-23 13:42:51,369 "GET /static/css/style.css HTTP/1.1" 200 4214
[contactor] INFO 2024-04-23 13:42:51,370 "GET /static/css/contact.css HTTP/1.1" 200 27696
[contactor] INFO 2024-04-23 13:43:00,241 "GET /contacts/update/4/ HTTP/1.1" 200 5035
[contactor] INFO 2024-04-23 13:43:00,261 "GET /static/css/contact.css HTTP/1.1" 200 27696
[contactor] INFO 2024-04-23 13:43:00,261 "GET /static/css/style.css HTTP/1.1" 200 4214
[contactor] INFO 2024-04-23 13:43:09,068 "GET /contacts/update/3/ HTTP/1.1" 200 5028
[contactor] INFO 2024-04-23 13:43:09,083 "GET /static/css/contact.css HTTP/1.1" 200 27696
[contactor] INFO 2024-04-23 13:43:09,084 "GET /static/css/style.css HTTP/1.1" 200 4214
[contactor] INFO 2024-04-23 13:43:13,640 "GET /contacts/ HTTP/1.1" 200 7216
[contactor] INFO 2024-04-23 13:43:13,658 "GET /static/css/style.css HTTP/1.1" 200 4214
[contactor] INFO 2024-04-23 13:43:13,659 "GET /static/css/contact.css HTTP/1.1" 200 27696
[contactor] INFO 2024-04-23 13:43:19,842 "GET /contacts/detail/4/ HTTP/1.1" 200 4247
[contactor] INFO 2024-04-23 13:43:19,858 "GET /static/css/style.css HTTP/1.1" 200 4214
[contactor] INFO 2024-04-23 13:43:19,859 "GET /static/css/contact.css HTTP/1.1" 200 27696
[contactor] INFO 2024-04-23 13:43:29,811 "GET /contacts/ HTTP/1.1" 200 7216
[contactor] INFO 2024-04-23 13:43:29,830 "GET /static/css/style.css HTTP/1.1" 200 4214
[contactor] INFO 2024-04-23 13:43:29,831 "GET /static/css/contact.css HTTP/1.1" 200 27696
[contactor] INFO 2024-04-23 13:43:44,770 "GET /contacts/create HTTP/1.1" 200 5062
[contactor] INFO 2024-04-23 13:43:44,786 "GET /static/css/style.css HTTP/1.1" 200 4214
[contactor] INFO 2024-04-23 13:43:44,786 "GET /static/css/contact.css HTTP/1.1" 200 27696
[contactor] INFO 2024-04-23 13:43:44,794 "GET /static/js/imask.js HTTP/1.1" 200 124056
[contactor] INFO 2024-04-23 13:45:01,085 "POST /contacts/create HTTP/1.1" 302 0
[contactor] INFO 2024-04-23 13:45:01,100 "GET /contacts/ HTTP/1.1" 200 8088
[contactor] INFO 2024-04-23 13:45:01,120 "GET /static/css/style.css HTTP/1.1" 200 4214
[contactor] INFO 2024-04-23 13:45:01,121 "GET /static/css/contact.css HTTP/1.1" 200 27696
[contactor] INFO 2024-04-23 13:45:22,173 "GET /contacts/delete/8/ HTTP/1.1" 302 0
[contactor] INFO 2024-04-23 13:45:22,185 "GET /contacts/ HTTP/1.1" 200 7366
[contactor] INFO 2024-04-23 13:45:22,200 "GET /static/css/style.css HTTP/1.1" 200 4214
[contactor] INFO 2024-04-23 13:45:22,200 "GET /static/css/contact.css HTTP/1.1" 200 27696
[contactor] INFO 2024-04-23 13:45:25,748 "GET /contacts/ HTTP/1.1" 200 7216
[contactor] INFO 2024-04-23 13:45:25,766 "GET /static/css/contact.css HTTP/1.1" 200 27696
[contactor] INFO 2024-04-23 13:45:25,767 "GET /static/css/style.css HTTP/1.1" 200 4214
[contactor] INFO 2024-04-23 13:45:30,708 "GET /accounts/logout/ HTTP/1.1" 302 0
[contactor] INFO 2024-04-23 13:45:30,717 "GET /accounts/login/ HTTP/1.1" 200 1067
[contactor] INFO 2024-04-23 14:02:57,005 "GET /accounts/login/ HTTP/1.1" 200 1067
[contactor] INFO 2024-04-23 14:02:57,087 "GET /apple-touch-icon-precomposed.png HTTP/1.1" 302 0
[contactor] INFO 2024-04-23 14:02:57,089 "GET /accounts/login/ HTTP/1.1" 200 1067
[contactor] INFO 2024-04-23 14:02:57,091 "GET /apple-touch-icon.png HTTP/1.1" 302 0
[contactor] INFO 2024-04-23 14:02:57,092 "GET /accounts/login/ HTTP/1.1" 200 1067
[contactor] WARNING 2024-04-23 14:02:57,093 Not Found: /favicon.ico
[contactor] WARNING 2024-04-23 14:02:57,094 "GET /favicon.ico HTTP/1.1" 404 179
[contactor] INFO 2024-04-23 14:02:57,105 "GET /apple-touch-icon-precomposed.png HTTP/1.1" 302 0
[contactor] INFO 2024-04-23 14:02:57,106 "GET /accounts/login/ HTTP/1.1" 200 1067
[contactor] INFO 2024-04-23 14:02:57,107 "GET /apple-touch-icon.png HTTP/1.1" 302 0
[contactor] INFO 2024-04-23 14:02:57,107 "GET /accounts/login/ HTTP/1.1" 200 1067
[contactor] WARNING 2024-04-23 14:02:57,108 Not Found: /favicon.ico
[contactor] WARNING 2024-04-23 14:02:57,108 "GET /favicon.ico HTTP/1.1" 404 179
[contactor] INFO 2024-04-23 14:02:57,112 "GET /accounts/login/ HTTP/1.1" 200 1067
[contactor] INFO 2024-04-23 14:02:57,116 "GET /apple-touch-icon-precomposed.png HTTP/1.1" 302 0
